    EPSACU     EPSVM   EPSctrl    RHOforest     RHOreverse      RHOtotal       RHOmod1       RHOmod2
    0.0950    0.0950    0.0950    0.3264E+12    0.5184E+14    0.5217E+14    0.2236E+14    0.2976E+14    0.4213E+11
    0.1000    0.1000    0.1000    0.3734E+12    0.5440E+14    0.5478E+14    0.2387E+14    0.3086E+14    0.4375E+11
    0.1050    0.1050    0.1050    0.3960E+12    0.5607E+14    0.5647E+14    0.2386E+14    0.3256E+14    0.4279E+11
    0.1100    0.1100    0.1100    0.4529E+12    0.5558E+14    0.5603E+14    0.2383E+14    0.3214E+14    0.5726E+11
    0.1150    0.1150    0.1150    0.5090E+12    0.5561E+14    0.5612E+14    0.2389E+14    0.3218E+14    0.5619E+11
    0.1200    0.1200    0.1200    0.5622E+12    0.5593E+14    0.5650E+14    0.2400E+14    0.3245E+14    0.5457E+11
    0.1250    0.1250    0.1250    0.6156E+12    0.5655E+14    0.5716E+14    0.2417E+14    0.3294E+14    0.5296E+11
    0.1300    0.1300    0.1300    0.6713E+12    0.5740E+14    0.5807E+14    0.2440E+14    0.3363E+14    0.5162E+11
    0.1350    0.1350    0.1350    0.7315E+12    0.5843E+14    0.5916E+14    0.2468E+14    0.3443E+14    0.5118E+11
    0.1400    0.1400    0.1400    0.7978E+12    0.5961E+14    0.6041E+14    0.2504E+14    0.3532E+14    0.5160E+11
    0.1450    0.1450    0.1450    0.8728E+12    0.6089E+14    0.6177E+14    0.2545E+14    0.3627E+14    0.5267E+11
    0.1500    0.1500    0.1500    0.9578E+12    0.6226E+14    0.6322E+14    0.2593E+14    0.3723E+14    0.5512E+11
    0.1550    0.1550    0.1550    0.1054E+13    0.6371E+14    0.6476E+14    0.2647E+14    0.3823E+14    0.5891E+11
    0.1600    0.1600    0.1600    0.1165E+13    0.6522E+14    0.6638E+14    0.2709E+14    0.3923E+14    0.6010E+11
    0.1650    0.1650    0.1650    0.1289E+13    0.6677E+14    0.6806E+14    0.2778E+14    0.4022E+14    0.6194E+11
    0.1700    0.1700    0.1700    0.1432E+13    0.6838E+14    0.6982E+14    0.2857E+14    0.4118E+14    0.6426E+11
    0.1750    0.1750    0.1750    0.1594E+13    0.7003E+14    0.7162E+14    0.2944E+14    0.4212E+14    0.6504E+11
    0.1800    0.1800    0.1800    0.1775E+13    0.7172E+14    0.7349E+14    0.3038E+14    0.4304E+14    0.7326E+11
    0.1850    0.1850    0.1850    0.1977E+13    0.7343E+14    0.7540E+14    0.3139E+14    0.4393E+14    0.7892E+11
    0.1900    0.1900    0.1900    0.2201E+13    0.7517E+14    0.7737E+14    0.3250E+14    0.4479E+14    0.7921E+11
    0.1950    0.1950    0.1950    0.2445E+13    0.7693E+14    0.7937E+14    0.3365E+14    0.4563E+14    0.8617E+11
    0.2000    0.2000    0.2000    0.2710E+13    0.7866E+14    0.8137E+14    0.3486E+14    0.4642E+14    0.9301E+11
    0.2050    0.2050    0.2050    0.3000E+13    0.8037E+14    0.8337E+14    0.3611E+14    0.4716E+14    0.9091E+11
    0.2100    0.2100    0.2100    0.3316E+13    0.8202E+14    0.8534E+14    0.3738E+14    0.4786E+14    0.9046E+11
    0.2150    0.2150    0.2150    0.3652E+13    0.8364E+14    0.8729E+14    0.3868E+14    0.4852E+14    0.9008E+11
    0.2200    0.2200    0.2200    0.4012E+13    0.8520E+14    0.8921E+14    0.3998E+14    0.4914E+14    0.9059E+11
    0.2250    0.2250    0.2250    0.4398E+13    0.8671E+14    0.9111E+14    0.4130E+14    0.4971E+14    0.8873E+11
    0.2300    0.2300    0.2300    0.4806E+13    0.8817E+14    0.9297E+14    0.4263E+14    0.5025E+14    0.8896E+11
    0.2350    0.2350    0.2350    0.5236E+13    0.8958E+14    0.9481E+14    0.4397E+14    0.5076E+14    0.8970E+11
    0.2400    0.2400    0.2400    0.5689E+13    0.9093E+14    0.9661E+14    0.4530E+14    0.5122E+14    0.8926E+11
    0.2450    0.2450    0.2450    0.6166E+13    0.9223E+14    0.9839E+14    0.4665E+14    0.5166E+14    0.8786E+11
    0.2500    0.2500    0.2500    0.6667E+13    0.9348E+14    0.1001E+15    0.4800E+14    0.5206E+14    0.8696E+11
    0.2550    0.2550    0.2550    0.7190E+13    0.9467E+14    0.1019E+15    0.4934E+14    0.5243E+14    0.8672E+11
    0.2600    0.2600    0.2600    0.7734E+13    0.9582E+14    0.1036E+15    0.5069E+14    0.5278E+14    0.8581E+11
    0.2650    0.2650    0.2650    0.8302E+13    0.9692E+14    0.1052E+15    0.5203E+14    0.5311E+14    0.8543E+11
    0.2700    0.2700    0.2700    0.8892E+13    0.9797E+14    0.1069E+15    0.5337E+14    0.5341E+14    0.8384E+11
    0.2750    0.2750    0.2750    0.9503E+13    0.9897E+14    0.1085E+15    0.5471E+14    0.5368E+14    0.8241E+11
    0.2800    0.2800    0.2800    0.1013E+14    0.9993E+14    0.1101E+15    0.5605E+14    0.5392E+14    0.8238E+11
    0.2850    0.2850    0.2850    0.1078E+14    0.1008E+15    0.1116E+15    0.5739E+14    0.5415E+14    0.8154E+11
    0.2900    0.2900    0.2900    0.1146E+14    0.1017E+15    0.1131E+15    0.5872E+14    0.5435E+14    0.8081E+11
    0.2950    0.2950    0.2950    0.1215E+14    0.1025E+15    0.1147E+15    0.6004E+14    0.5454E+14    0.7945E+11
    0.3000    0.3000    0.3000    0.1286E+14    0.1033E+15    0.1161E+15    0.6136E+14    0.5470E+14    0.7882E+11
