    EPSACU     EPSVM   EPSctrl    RHOforest     RHOreverse      RHOtotal       RHOmod1       RHOmod2
    0.0950    0.0950    0.0950    0.3264E+12    0.5184E+14    0.5217E+14    0.2236E+14    0.2976E+14    0.4213E+11
    0.1000    0.1000    0.1000    0.3734E+12    0.5440E+14    0.5478E+14    0.2387E+14    0.3086E+14    0.4375E+11
    0.1050    0.1050    0.1050    0.4266E+12    0.5692E+14    0.5735E+14    0.2539E+14    0.3191E+14    0.4530E+11
    0.1100    0.1100    0.1100    0.4870E+12    0.5940E+14    0.5988E+14    0.2692E+14    0.3292E+14    0.4676E+11
    0.1150    0.1150    0.1150    0.5553E+12    0.6183E+14    0.6238E+14    0.2846E+14    0.3388E+14    0.4814E+11
    0.1200    0.1200    0.1200    0.6326E+12    0.6421E+14    0.6484E+14    0.3000E+14    0.3479E+14    0.4945E+11
    0.1250    0.1250    0.1250    0.7199E+12    0.6654E+14    0.6726E+14    0.3154E+14    0.3567E+14    0.5067E+11
    0.1300    0.1300    0.1300    0.8182E+12    0.6883E+14    0.6965E+14    0.3309E+14    0.3650E+14    0.5181E+11
    0.1350    0.1350    0.1350    0.9288E+12    0.7107E+14    0.7200E+14    0.3465E+14    0.3730E+14    0.5289E+11
    0.1400    0.1400    0.1400    0.1053E+13    0.7325E+14    0.7430E+14    0.3620E+14    0.3805E+14    0.5389E+11
    0.1450    0.1450    0.1450    0.1192E+13    0.7538E+14    0.7658E+14    0.3775E+14    0.3877E+14    0.5482E+11
    0.1500    0.1500    0.1500    0.1346E+13    0.7746E+14    0.7881E+14    0.3930E+14    0.3946E+14    0.5568E+11
    0.1550    0.1550    0.1550    0.1519E+13    0.7949E+14    0.8101E+14    0.4085E+14    0.4010E+14    0.5649E+11
    0.1600    0.1600    0.1600    0.1709E+13    0.8146E+14    0.8317E+14    0.4239E+14    0.4072E+14    0.5723E+11
    0.1650    0.1650    0.1650    0.1920E+13    0.8337E+14    0.8529E+14    0.4393E+14    0.4130E+14    0.5791E+11
    0.1700    0.1700    0.1700    0.2151E+13    0.8523E+14    0.8738E+14    0.4547E+14    0.4185E+14    0.5851E+11
    0.1750    0.1750    0.1750    0.2404E+13    0.8703E+14    0.8943E+14    0.4699E+14    0.4238E+14    0.5905E+11
    0.1800    0.1800    0.1800    0.2679E+13    0.8877E+14    0.9145E+14    0.4852E+14    0.4287E+14    0.5953E+11
    0.1850    0.1850    0.1850    0.2978E+13    0.9045E+14    0.9343E+14    0.5003E+14    0.4333E+14    0.5995E+11
    0.1900    0.1900    0.1900    0.3302E+13    0.9207E+14    0.9537E+14    0.5154E+14    0.4377E+14    0.6031E+11
    0.1950    0.1950    0.1950    0.3650E+13    0.9363E+14    0.9728E+14    0.5304E+14    0.4418E+14    0.6061E+11
    0.2000    0.2000    0.2000    0.4022E+13    0.9514E+14    0.9916E+14    0.5453E+14    0.4457E+14    0.6087E+11
    0.2050    0.2050    0.2050    0.4420E+13    0.9658E+14    0.1010E+15    0.5601E+14    0.4493E+14    0.6107E+11
    0.2100    0.2100    0.2100    0.4843E+13    0.9797E+14    0.1028E+15    0.5748E+14    0.4526E+14    0.6122E+11
    0.2150    0.2150    0.2150    0.5291E+13    0.9929E+14    0.1046E+15    0.5894E+14    0.4558E+14    0.6132E+11
    0.2200    0.2200    0.2200    0.5763E+13    0.1006E+15    0.1063E+15    0.6040E+14    0.4587E+14    0.6137E+11
    0.2250    0.2250    0.2250    0.6260E+13    0.1018E+15    0.1080E+15    0.6184E+14    0.4614E+14    0.6138E+11
    0.2300    0.2300    0.2300    0.6780E+13    0.1029E+15    0.1097E+15    0.6326E+14    0.4639E+14    0.6136E+11
    0.2350    0.2350    0.2350    0.7323E+13    0.1040E+15    0.1114E+15    0.6468E+14    0.4662E+14    0.6131E+11
    0.2400    0.2400    0.2400    0.7889E+13    0.1051E+15    0.1130E+15    0.6609E+14    0.4683E+14    0.6124E+11
    0.2450    0.2450    0.2450    0.8476E+13    0.1061E+15    0.1146E+15    0.6748E+14    0.4703E+14    0.6116E+11
    0.2500    0.2500    0.2500    0.9083E+13    0.1070E+15    0.1161E+15    0.6886E+14    0.4720E+14    0.6104E+11
    0.2550    0.2549    0.2550    0.9711E+13    0.1079E+15    0.1177E+15    0.7023E+14    0.4736E+14    0.6090E+11
    0.2600    0.2599    0.2600    0.1036E+14    0.1088E+15    0.1191E+15    0.7159E+14    0.4750E+14    0.6075E+11
    0.2650    0.2649    0.2650    0.1102E+14    0.1096E+15    0.1206E+15    0.7293E+14    0.4762E+14    0.6059E+11
    0.2700    0.2699    0.2700    0.1170E+14    0.1104E+15    0.1221E+15    0.7426E+14    0.4773E+14    0.6041E+11
    0.2750    0.2749    0.2750    0.1240E+14    0.1111E+15    0.1235E+15    0.7558E+14    0.4783E+14    0.6023E+11
    0.2800    0.2799    0.2800    0.1311E+14    0.1117E+15    0.1249E+15    0.7688E+14    0.4791E+14    0.6004E+11
    0.2850    0.2849    0.2850    0.1384E+14    0.1124E+15    0.1262E+15    0.7817E+14    0.4797E+14    0.5983E+11
    0.2900    0.2899    0.2900    0.1458E+14    0.1130E+15    0.1275E+15    0.7945E+14    0.4803E+14    0.5962E+11
    0.2950    0.2949    0.2950    0.1534E+14    0.1135E+15    0.1288E+15    0.8072E+14    0.4807E+14    0.5940E+11
    0.3000    0.2999    0.3000    0.1610E+14    0.1140E+15    0.1301E+15    0.8197E+14    0.4810E+14    0.5919E+11
